Criterion ID,Category
"10346,""/Beauty & Personal Care/Oral Care/Teeth Whitening"""
"10351,""/Beauty & Personal Care/Oral Care/Toothache Relief"""
"10352,""/Beauty & Personal Care/Oral Care/Toothbrushes & Toothbrush Accessories"""
"11431,""/Beauty & Personal Care/Oral Care/Toothbrushes & Toothbrush Accessories/Manual Toothbrushes"""
"11430,""/Beauty & Personal Care/Oral Care/Toothbrushes & Toothbrush Accessories/Powered Toothbrushes"""
"10350,""/Beauty & Personal Care/Oral Care/Toothpaste"""
"10057,""/Beauty & Personal Care/Perfumes & Fragrances"""
"10058,""/Beauty & Personal Care/Shaving & Grooming"""
"10342,""/Beauty & Personal Care/Shaving & Grooming/Personal Grooming Kits & Equipment"""
"11425,""/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers"""
"12726,""/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Electric Shavers"""
"13244,""/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Electric Shavers/Men's Electric Shavers"""
"13243,""/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Electric Shavers/Women's Electric Shavers & Epilators"""
"12727,""/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Razors"""
"13246,""/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Razors/Men's Razors"""
"13245,""/Beauty & Personal Care/Shaving & Grooming/Razors & Shavers/Razors/Women's Razors"""
"10343,""/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal"""
"12724,""/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Electrolysis"""
"11422,""/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Hair Removal Creams"""
"12725,""/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Laser Hair Removal"""
"12723,""/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Professional Waxing"""
"11423,""/Beauty & Personal Care/Shaving & Grooming/Unwanted Body & Facial Hair Removal/Waxing Products & Accessories"""
"10047,""/Beauty & Personal Care/Skin Care"""
"10309,""/Beauty & Personal Care/Skin Care/Body Cleansing"""
"11410,""/Beauty & Personal Care/Skin Care/Body Cleansing/Bath Additions"""
"11411,""/Beauty & Personal Care/Skin Care/Body Cleansing/Bathing Equipment"""
"12721,""/Beauty & Personal Care/Skin Care/Body Cleansing/Body Wipes"""
"11412,""/Beauty & Personal Care/Skin Care/Body Cleansing/Hand & Body Soaps & Cleansers"""
"12722,""/Beauty & Personal Care/Skin Care/Body Cleansing/Hand & Body Soaps & Cleansers/Liquid Soaps"""
"10310,""/Beauty & Personal Care/Skin Care/Body Lotions & Oils"""
